WEBSITES
URL, CATEGORY_ID
URL VARCHAR(40) PRIMARY KEY, CATEGORY_ID INTEGER REFERENCES WEBSITE_CATEGORIES(ID)
'http://www.alibaba.com', 0
'http://www.mayoclinic.org', 0
'http://business.scotsman.com', 0
'http://drbobgleeson.typepad.com', 0
'http://healthyamericans.org', 0
'http://www.utsouthwestern.edu', 0
'http://www.abovetopsecret.com', 0
'http://www.danwei.org', 0
'http://biopeer-swicki.eurekster.com', 0
'http://health.dailynewscentral.com', 0
'http://www.ip-watch.org', 0
'http://www.wildbirds.com', 0
'http://www.wn.com', 0
'http://bigpicture.typepad.com', 0
'http://www.crghealthcare.com.au', 0
'http://www.uaf.edu', 0
'http://www.jhsph.edu', 0
'http://www.hps-online.com', 0
'http://search.dispatch.com', 0
'http://www.prophecies.us', 0
'http://www.scoop.co.nz', 0
'http://news.com.com', 0
'http://www.wholepop.com', 0
'http://ykalaska.uniblogs.org', 0
'http://www.hss.state.ak.us', 0
'http://www.prisonplanet.com', 0
'http://health.yahoo.com', 0
'http://www.nwhc.usgs.gov', 0
'http://buffalopundit.wnymedia.net', 0
'http://www.globalvoicesonline.org', 0
'http://www.viewzone.com', 0
'http://www.ucc.org', 0
'http://journals.aol.com', 0
'http://www.newsfromrussia.com', 0
'http://www.bible-prophecy.com', 0
'http://www.abcmedianet.com', 0
'http://www.kitsapdem.org', 0
'http://teachers.net', 0
'http://www.hamiltoncountyhealth.org', 0
'http://www.teachersfirst.com', 0
'http://www.news.ucdavis.edu', 0
'http://www.news.cornell.edu', 0
'http://talon.stockton.edu', 0
'http://www.newsfactor.com', 0
'http://www.pandemicflu.org', 0
'http://www.china-bird-flu.com', 0
'http://www.fox30online.com', 0
'http://agonist.org', 0
'http://www.freerepublic.com', 0
'http://www.krollworldwide.com', 0
'http://forums.macosxhints.com', 0
'http://www.birdfludirectory.com', 0
'http://www.birdflunewssite.info', 0
'http://www.birdflupreparation.net', 0
'http://www.blogsearchengine.com', 0
'http://www.democraticunderground.com', 0
'http://www.reishirescue.com', 0
'http://ci.quincy.ma.us', 0
